时间,商品名称,库存变化,单笔销量
2026-06-26 18:33:54,오메가엑스 1:1 VIDEO CALL EVENT,初始库存: 30000,0
2026-06-27 20:56:58,오메가엑스 1:1 VIDEO CALL EVENT,30000 -> 29999,1
2026-06-28 23:01:32,오메가엑스 1:1 VIDEO CALL EVENT,29999 -> 29998,1
2026-06-29 15:24:43,오메가엑스 1:1 VIDEO CALL EVENT,29998 -> 29999,-1
2026-07-01 01:35:42,오메가엑스 1:1 VIDEO CALL EVENT,29999 -> 29997,2
2026-07-01 14:30:37,오메가엑스 1:1 VIDEO CALL EVENT,29997 -> 29989,8
2026-07-01 19:20:20,오메가엑스 1:1 VIDEO CALL EVENT,29989 -> 29981,8
2026-07-01 20:11:27,오메가엑스 1:1 VIDEO CALL EVENT,29981 -> 29967,14
2026-07-01 21:32:56,오메가엑스 1:1 VIDEO CALL EVENT,29967 -> 29960,7
2026-07-01 21:59:19,오메가엑스 1:1 VIDEO CALL EVENT,29960 -> 29947,13
2026-07-01 22:20:00,오메가엑스 1:1 VIDEO CALL EVENT,29947 -> 29938,9
2026-07-01 22:27:40,오메가엑스 1:1 VIDEO CALL EVENT,29938 -> 29929,9
2026-07-01 22:37:19,오메가엑스 1:1 VIDEO CALL EVENT,29929 -> 29918,11
