时间,商品名称,库存变化,单笔销量
2026-06-26 18:33:54,오메가엑스 1:1 VIDEO CALL EVENT,初始库存: 30000,0
2026-06-28 23:01:32,오메가엑스 1:1 VIDEO CALL EVENT,30000 -> 29999,1
2026-06-29 15:24:43,오메가엑스 1:1 VIDEO CALL EVENT,29999 -> 30000,-1
2026-07-01 01:35:42,오메가엑스 1:1 VIDEO CALL EVENT,30000 -> 29999,1
2026-07-01 16:30:00,오메가엑스 1:1 VIDEO CALL EVENT,29999 -> 29998,1
2026-07-01 18:18:33,오메가엑스 1:1 VIDEO CALL EVENT,29998 -> 29984,14
2026-07-01 18:30:27,오메가엑스 1:1 VIDEO CALL EVENT,29984 -> 29970,14
2026-07-01 19:21:33,오메가엑스 1:1 VIDEO CALL EVENT,29970 -> 29960,10
2026-07-01 19:34:07,오메가엑스 1:1 VIDEO CALL EVENT,29960 -> 29953,7
2026-07-01 21:03:59,오메가엑스 1:1 VIDEO CALL EVENT,29953 -> 29950,3
2026-07-01 21:19:26,오메가엑스 1:1 VIDEO CALL EVENT,29950 -> 29945,5
2026-07-01 21:38:12,오메가엑스 1:1 VIDEO CALL EVENT,29945 -> 29959,-14
2026-07-01 22:21:39,오메가엑스 1:1 VIDEO CALL EVENT,29959 -> 29956,3
2026-07-01 22:54:23,오메가엑스 1:1 VIDEO CALL EVENT,29956 -> 29951,5
